"The vendor successfully deleted.","The vendor successfully deleted."
"Can`t delete the vendor.","Can`t delete the vendor."
"Can`t find the vendor","Can`t find the vendor"
"Delete", "Delete"
"Are you sure you want to delete this vendor?","Are you sure you want to delete this vendor?"
"Vendors","Vendors"
"Failed to remove %1 vendors","Failed to remove %1 vendors"
"Successfully removed %1 vendors","Successfully removed %1 vendors"
"Add a new vendor.","Add a new vendor."
"Data saved successfully.","Data saved successfully."
"Failed to update data.","Failed to update data."
"Edit","Edit"
"Delete - %1","Delete - %1"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
